Artist and Title,Streams,Daily
"Mohit Chauhan - Tum Ho (From ""Rockstar"")",171498763,143978.0
Ryan Castro - LA VILLA,171229123,1291186.0
Ian Cordova - Linda Mujer,171189267,244020.0
Vishal Mishra - Tum Ho Toh,171087521,524531.0
Jorge & Mateus - Os Anjos Cantam,170286308,204319.0
j-hope - Sweet Dreams,169919214,167089.0
Central Cee - GBP,169885046,124417.0
Max Richter - On the Nature of Daylight,169515529,113213.0
Thalia - No Me Enseñaste,169379440,86969.0
Cazzu - Con Otra,169351134,231593.0
ROSÉ - Messy (From F1® The Movie),169296486,246662.0
Teddy Swims - Hammer to the Heart,169216162,112659.0
Travis Scott - 4X4,168582685,124119.0
Playboi Carti - TOXIC,168243744,290536.0
Sabrina Carpenter - 15 Minutes,167777793,187817.0
Tate McRae - I know love,167671452,110328.0
Nessa Barrett - P*RNSTAR,167481882,154214.0
JENNIE - Seoul City,167364870,339547.0
Lainey Wilson - 4x4xU,166371923,283222.0
2WEI - Survivor,165939567,58392.0
Young Miko - WASSUP,165746521,268952.0
EsDeeKid - LV Sandals,165453949,590882.0
Anuv Jain - Arz Kiya Hai | Coke Studio Bharat,165208112,721662.0
Tate McRae - Miss possessive,165071395,193476.0
Lil Uzi Vert - What You Saying,165034786,1145840.0
Peso Pluma - daño,164515966,1680693.0
Morgan Wallen - 20 Cigarettes,164315676,395263.0
Drake - What Did I Miss?,164234299,322462.0
GIMS - CIEL,164023839,136238.0
LE SSERAFIM - HOT,163640214,204013.0
"Claude Debussy - Suite bergamasque, L. 75: III. Clair de lune",162746968,50690.0
Toton Caribo - Ngapain Repot,162482431,307429.0
Israel & Rodolffo - Arruma Um Bão,162145938,92055.0
Nicky Jam - Hiekka,161830383,158261.0
Zartmann - tau mich auf,161822766,174185.0
Os Paralamas Do Sucesso - Lanterna Dos Afogados,161664164,85708.0
Morgan Wallen - I Ain't Comin' Back,161352837,165083.0
BLOK3 - git,161103208,248582.0
The Weeknd - The Abyss,161053233,216702.0
Jorge & Mateus - O Que É Que Tem,161037353,102870.0
"Bizarrap - Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",160535281,401371.0
Los Auténticos Decadentes - La Guitarra (Remasterizado 2025),160495483,62725.0
Sleep Token - Caramel,160307488,193514.0
The Living Tombstone - I Got No Time,159765746,65007.0
Olivia Dean - I've Seen It,159747764,617775.0
Chappell Roan - The Giver,159149735,88720.0
BLOK3 - Keşke,158872491,209426.0
Maná - Te Lloré Un Río,158647085,91807.0
Marcos Villalobos - La Pantera,158404338,194754.0
Reba McEntire - Fancy,158270300,69541.0
Olivia Dean - Lady Lady,158147922,460247.0
Murilo Huff - Deixa Eu,158097725,814428.0
Le John - Naiilang,157784672,352944.0
Lady Gaga - Garden Of Eden,157629308,174223.0
TWICE - THIS IS FOR,157612885,331417.0
Doja Cat - Jealous Type,157028516,231897.0
Mithoon - Dhun,156882958,391967.0
Disney - Zoo,156875040,1247589.0
Thomas Rhett - Somethin' 'Bout A Woman,156219670,163727.0
Kidd Voodoo - Me Mareo,155920135,313005.0
Lorde - What Was That,155700456,111792.0
John Mellencamp - Small Town,154591930,44038.0
Sufjan Stevens - Should Have Known Better,154520075,36946.0
Grupo Menos É Mais - Aquele Lugar,153857686,364117.0
KAROL G - Ivonny Bonita,153686306,262112.0
Clayton & Romário - Opa cadê eu,153293562,119817.0
cape - MONTAGEM RUGADA,153142383,488458.0
Kybba - Ba Ba Bad Remix,153080471,331183.0
Lizzy McAlpine - Pushing It Down and Praying,153018660,385905.0
Jmilton - Vem Vem,152935401,241818.0
Ely Oaks - Running Around,152714685,207770.0
Connie Francis - Pretty Little Baby,152455451,149428.0
Mora - DETRÁS DE TU ALMA,152401112,217443.0
Dadju - I love you,152257837,79278.0
Sabrina Carpenter - My Man on Willpower,152187572,288871.0
Jorge & Mateus - Nocaute,151943142,161479.0
Zé Neto & Cristiano - Escondendo o Ouro,151928889,253211.0
Peso Pluma - 7-3,151912427,1352783.0
Conjunto Primavera - Ave Cautiva,151909254,95150.0
Omar Camacho - La Ciudad del Sol,151800506,547389.0
Simone Mendes - Me Ama Ou Me Larga,151517253,115320.0
Faris Adam - Stecu Stecu,151293286,111575.0
Bronco - Si Te Vuelves A Enamorar,150947288,81278.0
CORTIS - GO!,150940084,473657.0
Intocable - Sueña,150725509,103824.0
Simone Mendes - Saudade Proibida,150599475,222666.0
BLOK3 - napıyosun mesela ?,150404011,286092.0
Emilia - blackout 🧊,150330418,189871.0
Linkin Park - Up From the Bottom,150268506,221622.0
Ferrugem - Me bloqueia,149842739,229277.0
Warren Zeiders - Relapse,149648083,108673.0
Victor Mendivil - King of Watches,149474428,323063.0
Lindsey Stirling - Carol Of The Bells,149375560,57259.0
Panda - Eu Te Seguro,148925135,893643.0
Tito Double P - CORAZÓN PARTÍO,148862986,224599.0
Neil Diamond - Cracklin' Rosie,148860507,58461.0
AP Dhillon - Thodi Si Daaru,148468163,402225.0
Forrest Frank - YOUR WAY'S BETTER,148346790,269443.0
ZXKAI - NO BATIDÃO,148167096,859698.0
Sleep Token - Emergence,147997969,151307.0
EsDeeKid - Century,147960377,733219.0
Earl Agustin - Dalangin,147882458,179100.0
Katteyes - PONTE LOKITA,147588192,78309.0
